NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
148,24/04/1999,64,61,[20],55,[74],53
149,28/04/1999,44,22,50,33,20,74
150,05/05/1999,55,53,01,86,51,73
151,06/05/1999,10,03,71,28,88,81
152,15/05/1999,77,[90],52,36,09,76
153,19/05/1999,33,07,72,54,73,[90]
154,22/05/1999,64,23,35,74,10,90
155,26/05/1999,73,28,[03],75,43,38
156,29/05/1999,04,70,16,59,13,03
157,02/06/1999,79,[44],49,34,62,[10]
158,03/06/1999,09,26,30,54,10,[44]
159,10/06/1999,73,68,27,41,50,44
160,11/06/1999,64,58,[87],61,82,38
161,16/06/1999,80,07,37,06,67,87
162,19/06/1999,20,86,56,05,29,41
163,23/06/1999,67,68,[31],23,13,58
164,26/06/1999,86,71,36,90,[37],31
165,30/06/1999,23,[77],65,19,08,37
166,01/07/1999,74,22,[44],87,13,77
167,04/07/1999,58,34,53,45,43,44
168,07/07/1999,13,[46],70,40,27,84
169,08/07/1999,83,63,38,82,87,46
170,14/07/1999,29,16,[88],69,[04],58
171,17/07/1999,63,60,48,84,04,88
172,21/07/1999,22,74,05,35,38,82
173,24/07/1999,19,89,26,[67],11,58
174,28/07/1999,16,[13],52,78,23,67
175,31/07/1999,89,84,68,64,90,13
176,05/08/1999,05,77,73,44,34,83
177,09/08/1999,68,11,[15],81,14,30
178,14/08/1999,38,74,[80],75,48,15
179,18/08/1999,81,64,85,45,73,80
180,21/08/1999,16,[67],56,65,51,13
181,25/08/1999,37,[01],63,69,32,67
182,28/08/1999,51,25,39,28,89,01
183,01/09/1999,45,14,24,12,07,16
184,06/09/1999,01,13,[77],53,23,06
185,10/09/1999,45,16,32,[35],72,77
186,12/09/1999,40,78,59,80,12,35
187,15/09/1999,32,37,[20],44,88,75
188,18/09/1999,29,27,73,17,72,20
189,22/09/1999,88,79,15,33,60,12
190,25/09/1999,80,40,53,01,11,50
191,29/09/1999,79,37,38,47,06,[27]
192,02/10/1999,72,[04],55,67,16,27
193,03/10/1999,12,08,19,17,80,04
194,04/10/1999,72,[11],20,69,76,56
195,07/10/1999,17,[04],32,14,25,11
