NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
149,28/04/1999,24,37,33,[86],60,40
150,05/05/1999,50,62,16,15,06,82
151,06/05/1999,81,13,78,63,72,[76]
152,15/05/1999,40,66,51,37,46,58
153,19/05/1999,68,48,72,81,73,05
154,22/05/1999,20,63,39,24,72,70
155,26/05/1999,76,09,[03],36,63,77
156,29/05/1999,43,[79],26,14,89,03
157,02/06/1999,33,81,23,86,06,65
158,03/06/1999,65,10,43,16,[73],72
159,10/06/1999,73,56,40,04,85,71
160,11/06/1999,63,17,49,[37],24,76
161,16/06/1999,45,40,67,48,80,01
162,19/06/1999,64,84,81,04,63,80
163,23/06/1999,40,[90],63,74,16,28
164,26/06/1999,43,72,48,56,17,55
165,30/06/1999,90,48,37,40,58,03
166,01/07/1999,86,37,73,24,55,33
167,04/07/1999,86,36,45,10,23,37
168,07/07/1999,88,12,10,80,79,62
169,08/07/1999,80,06,67,87,63,76
170,14/07/1999,05,81,[84],64,[48],33
171,17/07/1999,81,84,40,01,80,[82]
172,21/07/1999,80,37,[58],76,43,49
173,24/07/1999,44,[13],39,45,24,01
174,28/07/1999,37,86,[90],36,63,34
175,31/07/1999,72,90,43,[34],61,67
176,05/08/1999,10,77,25,[68],56,71
177,09/08/1999,88,71,76,43,25,85
178,14/08/1999,67,34,12,13,70,69
179,18/08/1999,80,41,73,63,62,40
180,21/08/1999,13,86,34,90,68,89
181,25/08/1999,13,40,88,86,29,83
182,28/08/1999,81,23,04,88,67,77
183,01/09/1999,71,48,43,84,56,36
184,06/09/1999,90,[45],43,83,[77],68
185,10/09/1999,48,06,84,65,77,13
186,12/09/1999,41,12,31,83,[88],72
187,15/09/1999,45,01,86,[73],37,33
188,18/09/1999,64,23,34,48,68,40
189,22/09/1999,38,05,77,61,48,[01]
190,25/09/1999,88,75,77,72,48,32
191,29/09/1999,05,83,37,14,50,06
192,02/10/1999,48,[80],37,63,84,79
193,03/10/1999,06,44,73,88,05,01
194,04/10/1999,[04],12,[25],30,29,52
195,07/10/1999,20,55,64,74,53,88
196,11/10/1999,81,[80],37,[45],75,78
197,13/10/1999,65,16,67,51,15,13
198,16/10/1999,68,77,23,05,16,[45]
199,20/10/1999,80,43,71,[88],89,84
200,23/10/1999,13,16,78,80,67,05
201,27/10/1999,16,15,63,71,56,13
202,30/10/1999,45,68,14,07,[70],12
203,08/11/1999,63,48,84,60,80,04
204,09/11/1999,72,06,81,87,75,13
205,12/11/1999,39,29,88,90,70,16
206,13/11/1999,73,06,47,48,90,27
207,17/11/1999,84,37,77,79,[81],58
208,20/11/1999,13,16,56,06,67,25
209,24/11/1999,83,13,63,80,27,25
210,27/11/1999,48,36,23,13,01,73
211,05/12/1999,72,01,82,43,05,88
212,06/12/1999,56,43,48,71,01,51
213,15/12/1999,73,01,72,37,57,06
214,18/12/1999,88,[13],67,36,43,07
215,22/12/1999,80,[06],37,90,81,83
216,27/12/1999,40,50,01,81,16,72
217,29/12/1999,72,67,29,43,25,90
218,03/01/2000,10,59,80,78,86,50
219,04/01/2000,73,72,29,[88],27,20
220,07/01/2000,73,81,79,46,57,24
221,15/01/2000,77,[63],83,34,70,90
222,19/01/2000,81,24,26,43,06,37
223,22/01/2000,88,23,[60],67,79,04
224,26/01/2000,19,10,42,24,67,80
225,29/01/2000,06,83,23,13,34,29
226,02/02/2000,71,34,06,88,62,[30]
227,08/02/2000,43,83,32,26,16,88
228,09/02/2000,63,79,[49],03,20,02
229,11/02/2000,67,26,73,13,23,06
230,12/02/2000,63,76,25,13,37,70
231,16/02/2000,68,14,70,45,03,07
232,19/02/2000,24,60,90,63,87,10
233,23/02/2000,25,45,12,16,14,62
