NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
149,28/04/1999,43,35,29,48,11,15
150,05/05/1999,15,35,06,48,40,62
151,06/05/1999,81,63,11,15,35,48
152,15/05/1999,48,35,43,63,29,40
153,19/05/1999,48,[35],05,81,29,11
154,22/05/1999,63,11,29,81,48,88
155,26/05/1999,81,11,29,48,43,31
156,29/05/1999,15,11,29,48,81,43
157,02/06/1999,81,29,11,48,15,80
158,03/06/1999,11,43,48,15,10,05
159,10/06/1999,11,48,29,71,05,31
160,11/06/1999,05,31,11,48,57,02
161,16/06/1999,57,11,[05],48,81,[29]
162,19/06/1999,02,11,81,73,57,64
163,23/06/1999,02,11,57,15,48,81
164,26/06/1999,11,48,06,88,02,57
165,30/06/1999,37,48,90,15,11,40
166,01/07/1999,37,11,15,86,87,02
167,04/07/1999,11,15,37,43,21,23
168,07/07/1999,11,57,02,06,43,89
169,08/07/1999,11,06,89,43,02,57
170,14/07/1999,37,02,43,11,57,15
171,17/07/1999,63,57,11,02,15,47
172,21/07/1999,02,57,[11],63,43,88
173,24/07/1999,44,24,15,21,63,17
174,28/07/1999,15,63,43,23,[13],17
175,31/07/1999,63,13,15,57,67,17
176,05/08/1999,63,13,[15],88,17,02
177,09/08/1999,17,02,47,21,57,63
178,14/08/1999,13,48,47,21,57,34
179,18/08/1999,47,81,21,57,02,17
180,21/08/1999,13,21,02,47,68,57
181,25/08/1999,13,47,21,64,57,67
182,28/08/1999,13,67,57,47,23,21
183,01/09/1999,[13],57,21,64,67,[23]
184,06/09/1999,57,67,13,66,06,21
185,10/09/1999,13,21,23,77,67,06
186,12/09/1999,13,21,67,23,57,77
187,15/09/1999,23,13,45,37,77,21
188,18/09/1999,21,23,02,06,57,13
189,22/09/1999,21,18,57,67,13,77
190,25/09/1999,13,57,23,21,15,18
191,29/09/1999,57,13,37,80,21,02
192,02/10/1999,88,37,16,[80],13,21
193,03/10/1999,16,88,13,37,21,57
194,04/10/1999,13,37,16,88,21,57
195,07/10/1999,18,21,57,13,16,37
196,11/10/1999,[21],67,18,57,13,[80]
197,13/10/1999,18,57,02,13,67,16
198,16/10/1999,49,57,02,04,16,13
199,20/10/1999,80,57,18,16,[67],04
200,23/10/1999,67,80,37,[57],13,04
201,27/10/1999,13,80,67,49,04,16
202,30/10/1999,06,04,67,73,80,13
203,08/11/1999,04,80,06,43,[67],73
204,09/11/1999,13,67,06,16,02,34
205,12/11/1999,[06],13,67,16,34,04
206,13/11/1999,13,06,73,48,45,67
207,17/11/1999,67,[06],[80],02,[73],16
208,20/11/1999,06,80,67,16,73,04
209,24/11/1999,80,06,73,18,81,04
210,27/11/1999,06,73,80,16,81,04
211,05/12/1999,80,73,06,81,16,49
212,06/12/1999,80,06,81,73,02,18
213,15/12/1999,73,80,06,81,37,02
214,18/12/1999,88,43,67,80,02,06
215,22/12/1999,80,81,[06],37,49,02
216,27/12/1999,02,87,43,06,16,49
217,29/12/1999,43,87,02,06,[88],73
218,03/01/2000,49,[88],87,17,20,80
219,04/01/2000,[88],20,49,72,02,06
220,07/01/2000,20,88,49,73,02,66
221,15/01/2000,20,02,49,66,88,87
222,19/01/2000,49,88,02,87,[20],06
223,22/01/2000,88,20,87,49,52,57
224,26/01/2000,88,66,[87],20,06,49
225,29/01/2000,06,20,88,57,49,63
226,02/02/2000,88,73,06,20,80,49
227,08/02/2000,88,05,49,20,06,66
228,09/02/2000,[49],63,88,20,05,36
229,11/02/2000,88,05,63,20,06,66
230,12/02/2000,05,88,66,[20],63,33
231,16/02/2000,88,20,06,45,36,73
232,19/02/2000,20,88,06,36,63,73
233,23/02/2000,88,06,57,20,63,73
234,26/02/2000,06,66,73,05,52,88
235,01/03/2000,88,73,20,05,52,70
236,05/03/2000,05,06,88,52,[01],66
237,06/03/2000,05,52,[06],26,[66],20
238,15/03/2000,36,05,34,52,06,20
239,18/03/2000,20,06,88,36,05,57
240,22/03/2000,05,06,36,88,20,23
241,25/03/2000,06,05,36,88,83,20
242,29/03/2000,36,81,76,05,63,83
243,03/04/2000,05,36,72,63,06,[88]
244,10/04/2000,05,36,37,63,72,06
245,11/04/2000,05,36,37,88,52,76
246,15/04/2000,63,06,05,57,36,52
247,19/04/2000,36,[05],72,52,06,20
248,22/04/2000,23,63,20,88,53,06
249,26/04/2000,88,63,36,23,06,20
250,29/04/2000,06,[88],23,72,52,20
251,01/05/2000,36,88,23,63,72,52
252,02/05/2000,36,06,88,63,57,[52]
253,04/05/2000,88,06,72,37,36,34
254,07/05/2000,[88],17,72,36,06,[34]
255,08/05/2000,88,[36],72,[23],17,73
256,13/05/2000,72,88,76,41,[79],08
257,17/05/2000,88,57,80,06,37,17
258,20/05/2000,20,17,72,84,88,[41]
259,24/05/2000,88,[72],17,20,75,84
260,27/05/2000,88,19,73,17,46,75
261,31/05/2000,73,88,37,17,46,75
262,05/06/2000,19,73,88,17,46,75
263,09/06/2000,73,17,09,46,75,84
264,12/06/2000,67,19,73,17,63,06
265,14/06/2000,73,88,19,46,60,84
266,17/06/2000,19,73,18,63,46,60
267,21/06/2000,88,60,30,73,19,46
268,24/06/2000,84,19,73,88,17,46
269,28/06/2000,73,30,46,60,84,[18]
270,06/07/2000,20,73,19,46,60,84
271,10/07/2000,20,73,53,63,17,46
272,15/07/2000,20,63,88,73,53,46
273,19/07/2000,63,84,20,73,17,15
274,22/07/2000,63,67,17,20,73,16
275,26/07/2000,73,63,20,76,46,84
276,29/07/2000,20,46,73,84,30,[76]
277,01/08/2000,37,73,20,46,84,88
278,03/08/2000,73,88,[20],46,84,17
279,04/08/2000,88,19,73,46,30,32
280,07/08/2000,88,46,73,63,30,84
281,11/08/2000,63,73,46,20,15,84
282,16/08/2000,15,73,17,46,76,63
283,19/08/2000,73,88,46,06,15,19
284,23/08/2000,63,73,46,84,88,15
285,26/08/2000,46,84,73,20,[15],[19]
286,30/08/2000,73,46,15,84,17,03
287,02/09/2000,45,73,46,15,04,84
288,08/09/2000,73,15,45,46,06,84
289,09/09/2000,15,46,73,[03],84,45
290,12/09/2000,45,73,04,63,15,46
291,13/09/2000,06,[45],73,15,46,63
292,16/09/2000,06,15,58,04,73,46
293,20/09/2000,06,84,46,73,44,58
294,23/09/2000,06,46,84,44,[73],49
295,27/09/2000,46,06,37,15,07,08
296,30/09/2000,15,63,06,44,46,88
297,05/10/2000,06,88,13,[12],44,46
298,06/10/2000,44,06,46,88,[37],07
299,14/10/2000,46,[63],44,06,07,80
300,18/10/2000,46,07,44,88,86,06
301,21/10/2000,12,88,44,63,07,48
302,25/10/2000,12,88,80,06,44,46
303,28/10/2000,[06],63,12,[80],44,46
304,03/11/2000,06,12,44,[46],88,07
305,10/11/2000,37,63,12,88,07,06
306,11/11/2000,63,06,37,48,12,15
307,15/11/2000,88,37,12,06,44,63
308,18/11/2000,37,06,48,30,[03],07
309,22/11/2000,48,06,37,67,44,12
310,25/11/2000,88,06,48,44,87,78
311,29/11/2000,06,88,48,03,50,44
312,01/12/2000,50,14,44,06,67,[48]
313,02/12/2000,[67],06,37,12,03,39
314,04/12/2000,88,30,50,12,63,14
315,07/12/2000,39,06,50,14,72,03
316,08/12/2000,15,63,16,20,12,88
317,13/12/2000,44,88,12,22,43,57
318,16/12/2000,63,90,88,15,[23],06
319,20/12/2000,15,06,08,37,50,88
320,23/12/2000,80,63,06,15,76,88
321,27/12/2000,15,[20],75,07,44,88
322,30/12/2000,88,44,12,37,15,30
323,08/01/2001,88,07,15,30,80,[63]
324,09/01/2001,88,63,15,44,12,07
325,12/01/2001,15,63,12,88,44,37
326,13/01/2001,88,48,63,15,[44],06
327,17/01/2001,88,06,76,07,[22],12
328,20/01/2001,31,80,78,88,15,07
329,24/01/2001,07,78,03,39,50,34
330,27/01/2001,[06],07,78,50,16,37
331,31/01/2001,69,06,03,07,30,31
332,05/02/2001,03,30,31,06,49,69
333,14/02/2001,06,69,80,88,07,78
334,17/02/2001,80,81,06,78,07,[30]
335,21/02/2001,[06],07,78,31,69,80
336,24/02/2001,06,07,31,18,39,[80]
337,28/02/2001,80,06,88,07,31,34
338,01/03/2001,[62],06,07,48,88,31
339,02/03/2001,07,31,69,06,80,62
340,03/03/2001,62,31,88,06,80,07
341,10/03/2001,88,31,06,07,80,62
342,11/03/2001,88,31,34,80,62,[07]
343,14/03/2001,88,31,[62],80,69,06
344,17/03/2001,88,80,12,31,06,69
345,21/03/2001,88,31,06,12,80,[81]
346,24/03/2001,[80],62,06,49,88,31
347,28/03/2001,06,62,[88],31,80,49
348,31/03/2001,31,34,62,39,80,[12]
349,04/04/2001,31,34,80,49,60,87
350,06/04/2001,31,34,80,62,87,69
351,07/04/2001,34,31,89,87,62,80
352,08/04/2001,87,31,34,62,06,80
353,14/04/2001,62,14,39,31,87,06
354,18/04/2001,87,31,14,39,60,78
355,21/04/2001,87,[31],06,49,04,60
356,26/04/2001,06,87,69,21,88,49
357,28/04/2001,72,69,34,87,21,37
358,05/05/2001,69,88,34,21,72,87
359,09/05/2001,87,[69],21,88,14,60
360,12/05/2001,[14],72,06,03,87,16
361,16/05/2001,72,34,14,60,87,48
362,19/05/2001,03,02,72,87,34,21
363,23/05/2001,[63],03,76,80,02,47
364,26/05/2001,72,34,03,02,39,87
365,30/05/2001,34,03,72,87,21,79
366,06/06/2001,34,21,76,03,72,87
367,10/06/2001,76,14,45,60,08,[03]
368,13/06/2001,14,39,76,34,60,63
369,16/06/2001,[21],63,72,01,76,49
370,20/06/2001,76,01,72,63,48,16
371,23/06/2001,01,63,76,39,20,72
372,27/06/2001,72,01,76,63,48,[20]
373,30/06/2001,76,63,01,48,80,72
374,02/07/2001,76,[63],01,48,72,90
375,03/07/2001,76,72,56,01,63,90
376,04/07/2001,76,56,01,[63],62,72
377,07/07/2001,76,56,01,72,90,49
378,11/07/2001,49,76,45,01,14,63
379,14/07/2001,76,[01],49,88,63,72
380,18/07/2001,[63],76,32,45,62,49
381,21/07/2001,63,32,45,88,76,64
382,25/07/2001,[76],63,88,30,72,[90]
383,28/07/2001,63,30,33,62,72,79
384,01/08/2001,63,30,[72],64,32,80
385,08/08/2001,63,62,17,49,33,48
386,09/08/2001,30,63,56,80,17,33
387,16/08/2001,63,06,56,39,81,04
388,18/08/2001,63,33,79,48,56,81
389,22/08/2001,33,63,30,64,81,74
390,25/08/2001,63,79,28,33,17,30
391,29/08/2001,63,30,79,54,48,88
392,05/09/2001,63,52,17,48,41,33
393,06/09/2001,56,33,17,63,80,88
394,15/09/2001,79,63,[56],17,33,48
395,19/09/2001,06,79,33,63,88,[55]
396,22/09/2001,06,63,33,79,17,48
397,26/09/2001,81,79,63,48,06,17
398,29/09/2001,63,48,06,17,33,79
399,01/10/2001,63,66,06,48,17,33
400,02/10/2001,63,33,88,13,17,66
401,03/10/2001,63,17,13,79,33,06
402,10/10/2001,79,06,63,81,[66],17
